Variables,Values
Education,5
Education,3
Education,10
Education,0
Education,1
Education,1
Education,16
Education,8
Education,5
Education,1
Education,10
Education,6
Education,10
Education,8
Education,1
Education,6
Education,8
Education,12
Education,1
Education,8
Education,1
Education,10
Education,1
Education,5
Education,14
Education,14
Education,7
Education,10
Education,12
Education,5
Education,5
Education,12
Education,10
Education,8
Education,1
Education,8
Education,8
Education,0
Education,0
Education,10
Education,8
Education,8
Education,10
Education,8
Education,7
Education,8
Education,12
Education,0
Education,8
Education,10
Education,9
Education,5
Education,12
Education,5
Education,8
Education,1
Education,1
Education,1
Education,2
Education,0
Education,8
Education,14
Education,1
Education,10
Education,1
Education,1
Education,0
Education,1
Education,0
Education,0
Education,1
Education,1
Education,1
Education,1
Education,10
Education,12
Education,1
Education,1
Education,10
Education,1
Education,12
Education,1
Education,1
Education,10
Education,7
Education,1
Education,14
Education,1
Education,8
Education,0
Education,0
Education,5
Education,5
Education,0
Education,9
Education,12
Education,1
Education,1
Education,1
Education,10
Education,1
Education,12
Education,12
Education,1
Education,8
Education,10
Education,8
Education,8
Education,5
Education,10
Education,10
Education,10
Education,5
Education,8
Education,6
Education,0
Education,8
Education,0
Education,1
Education,10
Education,10
Education,14
Education,1
Education,7
Education,10
Education,0
Education,1
Education,7
Education,12
Education,5
Education,8
Education,9
Education,0
Education,1
Education,12
Education,1
Education,1
Education,5
Education,0
Education,10
Education,1
Education,0
Education,8
Education,0
Education,1
Education,5
Education,5
Education,10
Education,5
Education,8
Education,8
Education,0
Education,11
Education,5
Education,12
Education,11
Education,5
Education,12
Education,0
Education,5
Education,0
Education,8
Education,0
Education,1
Education,0
Education,0
Education,5
Education,0
Education,8
Education,11
Education,0
Education,0
Education,1
Education,10
Education,11
Education,10
Area,1.198380567
Area,2.534412955
Area,1.465587045
Area,0.801619433
Area,0.534412955
Area,2.4048583
Area,1.732793522
Area,0.931174089
Area,2.534412955
Area,1.198380567
Area,0.534412955
Area,1.068825911
Area,0.534412955
Area,1.732793522
Area,1.603238866
Area,0.931174089
Area,1.603238866
Area,0.801619433
Area,0.931174089
Area,0.801619433
Area,0.801619433
Area,1.603238866
Area,0.931174089
Area,0.267206478
Area,1.198380567
Area,1.732793522
Area,1.336032389
Area,1.603238866
Area,0.931174089
Area,0.931174089
Area,1.465587045
Area,2.534412955
Area,0.396761134
Area,0.931174089
Area,1.732793522
Area,1.198380567
Area,1.198380567
Area,0.850202429
Area,0.801619433
Area,0.534412955
Area,0.534412955
Area,0.801619433
Area,0.931174089
Area,1.117408907
Area,0.534412955
Area,2.137651822
Area,0.534412955
Area,1.336032389
Area,0.396761134
Area,1.198380567
Area,1.336032389
Area,0.534412955
Area,0.534412955
Area,0.931174089
Area,0.931174089
Area,0.801619433
Area,0.663967611
Area,0.663967611
Area,0.801619433
Area,1.198380567
Area,0.534412955
Area,1.117408907
Area,0.534412955
Area,0.534412955
Area,0.534412955
Area,1.068825911
Area,0.801619433
Area,0.12145749
Area,0.396761134
Area,0.801619433
Area,1.068825911
Area,1.068825911
Area,2.672064777
Area,0.663967611
Area,0.12145749
Area,0.534412955
Area,1.603238866
Area,1.068825911
Area,1.336032389
Area,0.801619433
Area,0.801619433
Area,1.336032389
Area,0.801619433
Area,0.534412955
Area,1.603238866
Area,2.137651822
Area,0.534412955
Area,1.603238866
Area,1.068825911
Area,2.137651822
Area,0.534412955
Area,1.603238866
Area,1.603238866
Area,0.801619433
Area,2.672064777
Area,1.469635628
Area,0.267206478
Area,0.267206478
Area,0.931174089
Area,1.336032389
Area,0.935222672
Area,1.469635628
Area,0.862348178
Area,1.603238866
Area,2.20242915
Area,0.5951417
Area,1.331983806
Area,1.469635628
Area,0.935222672
Area,1.068825911
Area,1.870445344
Area,0.24291498
Area,0.995951417
Area,0.396761134
Area,1.20242915
Area,2.4048583
Area,2.20242915
Area,1.336032389
Area,1.534412955
Area,1.372469636
Area,2.4048583
Area,0.663967611
Area,1.870445344
Area,0.732793522
Area,1.089068826
Area,0.534412955
Area,1.068825911
Area,1.068825911
Area,1.603238866
Area,1.336032389
Area,1.736842105
Area,0.935222672
Area,1.068825911
Area,1.336032389
Area,1.603238866
Area,1.736842105
Area,0.935222672
Area,0.801619433
Area,0.668016194
Area,1.068825911
Area,1.469635628
Area,1.736842105
Area,1.736842105
Area,1.736842105
Area,0.801619433
Area,0.801619433
Area,0.801619433
Area,0.801619433
Area,0.801619433
Area,1.068825911
Area,0.534412955
Area,0.534412955
Area,1.870445344
Area,0.801619433
Area,0.534412955
Area,3.607287449
Area,0.105263158
Area,0.801619433
Area,2.137651822
Area,0.105263158
Area,1.336032389
Area,1.870445344
Area,2.4048583
Area,1.068825911
Area,2.939271255
Area,3.340080972
Area,2.137651822
Area,1.097165992
Area,2.4048583
Area,1.870445344
Area,2.271255061
Area,0.862348178
Area,1.870445344
Area,1.469635628
Area,2.137651822
Area,3.340080972
Area,2.672064777
Area,2.538461538
Area,3.607287449
Area,1.336032389
Area,1.336032389
Area,2.137651822
Area,5.611336032
Area,2.137651822
Area,1.068825911
Area,2.137651822
Area,1.20242915
Area,4.008097166
Area,0.526315789
Area,1.862348178
Area,1.214574899
Area,1.214574899
Area,1.311740891
Area,0.728744939
Area,0.809716599
Area,0.728744939
Area,0.728744939
Area,0.36437247
Area,0.809716599
Area,1.457489879
Area,0.728744939
Area,0.36437247
Area,0.546558704
Area,1.093117409
Area,0.971659919
Area,0.789473684
Area,0.769230769
Area,0.607287449
Area,0.546558704
Area,0.910931174
Area,0.48582996
Area,1.275303644
Area,0.943319838
Area,0.48582996
Area,0.36437247
Area,1.55465587
Area,2.186234818
Area,0.36437247
Area,0.425101215
Area,0.546558704
Area,0.910931174
Area,0.603238866
Area,0.36437247
Area,1.052631579
Area,0.728744939
Area,1.093117409
Area,1.821862348
Area,0.728744939
Area,0.627530364
Area,1.052631579
Area,1.20242915
Area,0.465587045
Area,0.48582996
Area,0.728744939
Area,0.910931174
Area,0.769230769
Area,0.303643725
Area,0.340080972
Area,1.821862348
Area,0.692307692
Area,0.809716599
Area,1.336032389
Area,0.182186235
Area,0.477732794
Area,0.546558704
Area,1.336032389
Area,0.668016194
Area,0.546558704
Area,1.275303644
Area,0.566801619
Area,0.910931174
Area,0.465587045
Area,1.336032389
Area,0.935222672
Area,0.935222672
Area,1.20242915
Area,1.396761134
Area,1.101214575
Area,1.700404858
Area,1.20242915
Area,1.534412955
Area,1.603238866
Area,1.20242915
Area,0.866396761
Area,0.599190283
Area,1.331983806
Area,1
Area,1.20242915
Area,1.603238866
Area,0.995951417
Area,1.63562753
Area,1.336032389
Area,0.801619433
Area,2.004048583
Area,0.801619433
Area,0.801619433
Area,1.396761134
Area,0.801619433
Area,2.437246964
Area,1.295546559
Area,0.866396761
Area,0.995951417
Area,0.801619433
Area,1.20242915
Area,0.935222672
Area,1.668016194
Area,1.659919028
Area,0.809716599
Area,0.809716599
Area,0.910931174
Area,1.336032389
Area,1.052631579
Area,0.809716599
Area,1.578947368
Area,3.238866397
Area,1.214574899
Area,1.174089069
Area,2.429149798
Area,1.821862348
Area,1.862348178
Area,4.453441296
Area,1.133603239
Area,0.607287449
Area,2.226720648
Area,1.214574899
Area,0.890688259
Area,1.821862348
Area,1.052631579
Area,1.336032389
Area,3.036437247
Area,0.931174089
Area,0.647773279
Area,1.457489879
Area,0.44534413
Area,1.214574899
Area,1.821862348
Area,1.740890688
Area,0.36437247
Area,0.627530364
Area,1.133603239
Area,1.052631579
Area,1.012145749
Area,1.133603239
Area,2.429149798
Area,1.619433198
Area,0.4048583
Area,0.809716599
Area,0.931174089
Area,0.688259109
Area,0.526315789
Area,0.36437247
Area,1.619433198
Area,0.809716599
Area,0.607287449
Area,0.769230769
Area,0.607287449
Area,0.829959514
Area,0.4048583
Area,0.425101215
Area,0.48582996
Area,0.728744939
Area,1.214574899
Area,0.890688259
Area,3.206477733
Area,2.672064777
Area,1.336032389
Area,2.672064777
Area,2.137651822
Area,1.068825911
Area,1.870445344
Area,1.336032389
Area,1.068825911
Area,1.619433198
Area,1.068825911
Area,1.336032389
Area,1.068825911
Area,1.870445344
Area,1.068825911
Area,1.870445344
Area,1.336032389
Area,1.336032389
Area,1.603238866
Area,1.068825911
Area,1.068825911
Area,1.068825911
Area,0.801619433
Area,1.20242915
Area,1.068825911
Area,2.672064777
Area,0.935222672
Area,1.736842105
Area,247.5636364
Area,470.4484848
Area,268.2090909
Area,144.24
Area,95.4
Area,406.8
Area,314.5151515
Area,164.4848485
Area,443.8909091
Area,217.0218182
Area,100.22
Area,189
Area,96.78
Area,308.030303
Area,291.24
Area,190.2727273
Area,293.4
Area,146.52
Area,182.3272727
Area,145.2
Area,148.56
Area,294.9
Area,170.4090909
Area,51
Area,228.7272727
Area,334.7478788
Area,263.7
Area,312.84
Area,177.7272727
Area,178.5984848
Area,285.98
Area,483.7272727
Area,75.72727273
Area,181.7
Area,320.6109091
Area,215.0484848
Area,209.4424242
Area,156.5454545
Area,144.75
Area,98.7
Area,100.9
Area,151.35
Area,172.3257576
Area,216.4090909
Area,101
Area,422.4
Area,101.44
Area,249.6
Area,74.68787879
Area,231.4181818
Area,251.5
Area,98
Area,95.8
Area,174.5909091
Area,166.9242424
Area,159.57
Area,120.2666667
Area,120.2666667
Area,154.8
Area,227.830303
Area,95.4
Area,202.4
Area,99.9
Area,101.2
Area,99.94
Area,186.8
Area,143.55
Area,21.22727273
Area,67.63484848
Area,137.55
Area,177.6
Area,186.8
Area,467
Area,113.1848485
Area,21.22727273
Area,88.8
Area,259.5
Area,177.6
Area,264.5
Area,142.8
Area,150
Area,225
Area,135.6
Area,104.8
Area,300
Area,352
Area,88
Area,267.12
Area,180.8
Area,361.6
Area,90.4
Area,271.2
Area,271.2
Area,135.6
Area,452
Area,240.24
Area,42.8
Area,46.95
Area,188.6
Area,209.95
Area,122.7
Area,202.56
Area,145.9787879
Area,262.8
Area,333.1466667
Area,73.45545455
Area,216.8145455
Area,292.56
Area,151.94
Area,180.48
Area,313.6
Area,40.4630303
Area,129.9575758
Area,63.84848485
Area,178.05
Area,436.8
Area,257.3212121
Area,224.2
Area,222.7090909
Area,215.8590909
Area,446.8
Area,103.8666667
Area,272.44
Area,95.26666667
Area,178.0848485
Area,82
Area,164
Area,164
Area,246
Area,205
Area,276.2
Area,149.6
Area,168.8
Area,207.2
Area,253.2
Area,276.2
Area,149.6
Area,126.6
Area,107.4
Area,168.8
Area,234
Area,276.2
Area,276.2
Area,276.2
Area,126.6
Area,126.6
Area,126.6
Area,126.6
Area,126.6
Area,168.8
Area,84.4
Area,84.4
Area,295.4
Area,126.6
Area,84.4
Area,577.8
Area,16.13181818
Area,145.2
Area,344.4
Area,17.43181818
Area,246.75
Area,288.75
Area,380.7
Area,166.8
Area,506.5
Area,523
Area,323.2
Area,178.4060606
Area,399.2
Area,295.4
Area,334.5
Area,117.0545455
Area,270.9
Area,241
Area,325.6
Area,554.25
Area,387
Area,379.8
Area,522.5
Area,196
Area,197.5
Area,363.2
Area,903.6
Area,348
Area,166
Area,359.2
Area,200.6
Area,590.5
Area,70.18181818
Area,299.6818182
Area,242.7272727
Area,216.3636364
Area,178.6363636
Area,79.52727273
Area,78.84848485
Area,89.27272727
Area,75.18181818
Area,41.04545455
Area,75.42424242
Area,156.9090909
Area,73
Area,35.54545455
Area,52.36363636
Area,114.6818182
Area,100.1818182
Area,76.45454545
Area,70.75757576
Area,60.90909091
Area,57.34090909
Area,90.13636364
Area,50.90909091
Area,143.8181818
Area,90.53030303
Area,46.06060606
Area,37.31818182
Area,159.4181818
Area,224.1818182
Area,37.5
Area,45.87121212
Area,63
Area,91.36363636
Area,57.91212121
Area,36.68181818
Area,106
Area,71.27272727
Area,117.7272727
Area,212.2727273
Area,88.56818182
Area,80.96363636
Area,150.0515152
Area,184.5
Area,45.63636364
Area,54.60606061
Area,90.18181818
Area,99.38636364
Area,74.55454545
Area,37.45909091
Area,37.67272727
Area,204
Area,76.46818182
Area,94.68181818
Area,164.8636364
Area,36.81818182
Area,45.37878788
Area,65.45454545
Area,166.1363636
Area,60.42424242
Area,68.61818182
Area,167.2636364
Area,66.60606061
Area,133.5818182
Area,53.4469697
Area,137.6818182
Area,130
Area,130
Area,178
Area,199.8909091
Area,168.4181818
Area,271.5878788
Area,186.6
Area,197.64
Area,227.04
Area,170.28
Area,139.44
Area,84.66666667
Area,191.9393939
Area,124.98
Area,179.43
Area,238.64
Area,148.2460606
Area,229.5333333
Area,160.8
Area,119.62
Area,298.3
Area,115.32
Area,115.32
Area,200.9363636
Area,119.32
Area,329.1945455
Area,168.9969697
Area,111.5090909
Area,148.6187879
Area,111.62
Area,191.43
Area,143.38
Area,266.52
Area,254.2727273
Area,126.6666667
Area,131.2121212
Area,132.9545455
Area,165.5
Area,170.5757576
Area,121.969697
Area,228.7272727
Area,571.5151515
Area,214.3181818
Area,178.4848485
Area,349.0909091
Area,255.4545455
Area,298.7272727
Area,450.9090909
Area,159.9393939
Area,101.5151515
Area,385
Area,158.4090909
Area,120
Area,304.5454545
Area,141.030303
Area,224.1818182
Area,687.8787879
Area,118
Area,110
Area,219.5151515
Area,56.18181818
Area,196.8242424
Area,242.4242424
Area,245.3181818
Area,48.68181818
Area,98.90151515
Area,197.4848485
Area,183.3787879
Area,168.7878788
Area,166.6666667
Area,409.0909091
Area,265
Area,70.53030303
Area,147.2727273
Area,133.0606061
Area,89.09090909
Area,96.81060606
Area,64.62424242
Area,303.3333333
Area,127.9393939
Area,97.85151515
Area,116.3636364
Area,110.7575758
Area,127.030303
Area,81.63636364
Area,83.45454545
Area,98.63636364
Area,136
Area,220.2272727
Area,146.2909091
Area,480
Area,430
Area,240
Area,480
Area,384
Area,192
Area,336
Area,240
Area,192
Area,303.6363636
Area,192
Area,240
Area,192
Area,336
Area,192
Area,336
Area,240
Area,240
Area,288
Area,192
Area,192
Area,192
Area,144
Area,210
Area,192
Area,480
Area,174
Area,306
Experience,25
Experience,40
Experience,35
Experience,40
Experience,45
Experience,25
Experience,35
Experience,20
Experience,40
Experience,35
Experience,22
Experience,45
Experience,45
Experience,25
Experience,45
Experience,12
Experience,25
Experience,40
Experience,40
Experience,35
Experience,33
Experience,25
Experience,25
Experience,35
Experience,15
Experience,35
Experience,25
Experience,20
Experience,45
Experience,45
Experience,45
Experience,30
Experience,30
Experience,38
Experience,45
Experience,25
Experience,25
Experience,40
Experience,35
Experience,40
Experience,40
Experience,30
Experience,15
Experience,27
Experience,35
Experience,40
Experience,15
Experience,30
Experience,28
Experience,15
Experience,35
Experience,20
Experience,20
Experience,35
Experience,35
Experience,25
Experience,30
Experience,10
Experience,40
Experience,20
Experience,25
Experience,25
Experience,30
Experience,30
Experience,30
Experience,25
Experience,20
Experience,25
Experience,15
Experience,20
Experience,30
Experience,30
Experience,14
Experience,25
Experience,30
Experience,25
Experience,12
Experience,20
Experience,45
Experience,12
Experience,30
Experience,18
Experience,15
Experience,25
Experience,15
Experience,22
Experience,14
Experience,25
Experience,30
Experience,20
Experience,20
Experience,30
Experience,20
Experience,31
Experience,30
Experience,30
Experience,20
Experience,25
Experience,15
Experience,15
Experience,26
Experience,20
Experience,12
Experience,20
Experience,15
Experience,10
Experience,25
Experience,40
Experience,14
Experience,50
Experience,20
Experience,33
Experience,15
Experience,25
Experience,37
Experience,35
Experience,30
Experience,40
Experience,40
Experience,30
Experience,50
Experience,25
Experience,45
Experience,25
Experience,20
Experience,5
Experience,20
Experience,20
Experience,15
Experience,20
Experience,10
Experience,20
Experience,10
Experience,15
Experience,15
Experience,15
Experience,20
Experience,19
Experience,9
Experience,20
Experience,25
Experience,20
Experience,20
Experience,15
Experience,5
Experience,20
Experience,40
Experience,5
Experience,10
Experience,30
Experience,30
Experience,5
Experience,10
Experience,10
Experience,30
Experience,25
Experience,40
Experience,20
Experience,20
Experience,30
Experience,20
Experience,20
Experience,30
Experience,28
Experience,27
Experience,25
Experience,40
Experience,35
Experience,30
Experience,22
Experience,25
Experience,20
Experience,25
Experience,25
Experience,25
Experience,20
Experience,20
Experience,22
Experience,40
Experience,22
Experience,29
Experience,20
Experience,30
Experience,25
Experience,24
Experience,22
Experience,40
Experience,28
Experience,40
Experience,15
Experience,35
Experience,22
Experience,24
Experience,30
Experience,22
Experience,35
Experience,35
Experience,40
Experience,40
Experience,50
Experience,30
Experience,20
Experience,20
Experience,50
Experience,20
Experience,15
Experience,17
Experience,30
Experience,40
Experience,35
Experience,23
Experience,25
Experience,45
Experience,20
Experience,45
Experience,25
Experience,36
Experience,15
Experience,40
Experience,10
Experience,5
Experience,15
Experience,20
Experience,5
Experience,15
Experience,12
Experience,15
Experience,7
Experience,25
Experience,35
Experience,5
Experience,38
Experience,39
Experience,24
Experience,37
Experience,39
Experience,20
Experience,20
Experience,35
Experience,30
Experience,35
Experience,20
Experience,2
Experience,28
Experience,24
Experience,38
Experience,32
Experience,28
Experience,32
Experience,38
Experience,35
Experience,20
Experience,28
Experience,10
Experience,10
Experience,20
Experience,4
Experience,25
Experience,30
Experience,30
Experience,30
Experience,20
Experience,26
Experience,22
Experience,20
Experience,25
Experience,30
Experience,35
Experience,30
Experience,20
Experience,25
Experience,15
Experience,30
Experience,25
Experience,30
Experience,20
Experience,8
Experience,30
Experience,50
Experience,30
Experience,15
Experience,25
Experience,20
Experience,16
Experience,25
Experience,30
Experience,20
Experience,18
Experience,35
Experience,12
Experience,20
Experience,40
Experience,20
Experience,35
Experience,25
Experience,20
Experience,15
Experience,15
Experience,40
Experience,10
Experience,30
Experience,20
Experience,25
Experience,15
Experience,15
Experience,30
Experience,20
Experience,20
Experience,25
Experience,50
Experience,20
Experience,20
Experience,20
Experience,25
Experience,25
Experience,18
Experience,30
Experience,30
Experience,32
Experience,15
Experience,30
Experience,20
Experience,35
Experience,46
Experience,50
Experience,20
Experience,42
Experience,30
Experience,20
Experience,12
Experience,20
Experience,20
Experience,55
Experience,40
Experience,25
Experience,45
Experience,199
Experience,15
Experience,35
Experience,25
Experience,45
Experience,30
Experience,12
Experience,10
Experience,10
Experience,20
Experience,20
Experience,15
Experience,25
Experience,20
Experience,30
Experience,30
Experience,40
Experience,50
Experience,30
Experience,40
Experience,20
Experience,20
Experience,20
Experience,20
Experience,50
Experience,50
Experience,50
Experience,22
Experience,20
Experience,40
Experience,15
Experience,20
Experience,25
Experience,30
Experience,15
Innovativeness,2.7
Innovativeness,0.2
Innovativeness,0.3
Innovativeness,0.3
Innovativeness,0.2
Innovativeness,0.4
Innovativeness,0.3
Innovativeness,0.6
Innovativeness,1.2
Innovativeness,0.7
Innovativeness,0.6
Innovativeness,0.1
Innovativeness,0.2
Innovativeness,1.3
Innovativeness,0.2
Innovativeness,1.7
Innovativeness,0.5
Innovativeness,0.2
Innovativeness,0.5
Innovativeness,0.6
Innovativeness,0.3
Innovativeness,0.3
Innovativeness,0.4
Innovativeness,0.4
Innovativeness,1.1
Innovativeness,0.2
Innovativeness,0.2
Innovativeness,0.3
Innovativeness,0.2
Innovativeness,0.2
Innovativeness,0.1
Innovativeness,0.4
Innovativeness,0.2
Innovativeness,0.4
Innovativeness,0.3
Innovativeness,0.1
Innovativeness,0.2
Innovativeness,0.3
Innovativeness,0.3
Innovativeness,0.3
Innovativeness,0.2
Innovativeness,0.5
Innovativeness,0.1
Innovativeness,0.2
Innovativeness,0.4
Innovativeness,0.3
Innovativeness,3.3
Innovativeness,1
Innovativeness,0.2
Innovativeness,0.3
Innovativeness,0.2
Innovativeness,0.3
Innovativeness,0.3
Innovativeness,0.2
Innovativeness,0.1
Innovativeness,0.3
Innovativeness,0.2
Innovativeness,0.2
Innovativeness,0.3
Innovativeness,0.2
Innovativeness,0.3
Innovativeness,0.3
Innovativeness,0.5
Innovativeness,0.1
Innovativeness,0.6
Innovativeness,0.7
Innovativeness,3.2
Innovativeness,2.3
Innovativeness,1.6
Innovativeness,2.4
Innovativeness,0.7
Innovativeness,1.2
Innovativeness,1.4
Innovativeness,0.3
Innovativeness,0.8
Innovativeness,0.6
Innovativeness,1.5
Innovativeness,0.7
Innovativeness,1.1
Innovativeness,2.1
Innovativeness,1.1
Innovativeness,2
Innovativeness,1.2
Innovativeness,0.7
Innovativeness,2.6
Innovativeness,1.6
Innovativeness,2.3
Innovativeness,1.5
Innovativeness,1.2
Innovativeness,4.4
Innovativeness,0.6
Innovativeness,0.7
Innovativeness,0.5
Innovativeness,0.2
Innovativeness,0.5
Innovativeness,3.5
Innovativeness,2.4
Innovativeness,2.1
Innovativeness,3.2
Innovativeness,2.4
Innovativeness,3.9
Innovativeness,2.9
Innovativeness,2
Innovativeness,4.2
Innovativeness,6.6
Innovativeness,4.4
Innovativeness,1.5
Innovativeness,1.9
Innovativeness,3.3
Innovativeness,2.7
Innovativeness,2.4
Innovativeness,1.3
Innovativeness,1.2
Innovativeness,2.3
Innovativeness,1
Innovativeness,2.2
Innovativeness,2.8
Innovativeness,3.7
Innovativeness,1.3
Innovativeness,4.3
Innovativeness,3.1
Innovativeness,3.5
Innovativeness,1
Innovativeness,2.2
Innovativeness,1.9
Innovativeness,4.6
Innovativeness,1.6
Innovativeness,2
Innovativeness,2.5
Innovativeness,2.4
Innovativeness,3.7
Innovativeness,1.9
Innovativeness,3.9
Innovativeness,0.9
Innovativeness,1.5
Innovativeness,2.9
Innovativeness,1.2
Innovativeness,3
Innovativeness,3.5
Innovativeness,2
Innovativeness,1.3
Innovativeness,2.1
Innovativeness,1.5
Innovativeness,2.9
Innovativeness,4.6
Innovativeness,1.6
Innovativeness,0.2
Innovativeness,4.6
Innovativeness,3.6
Innovativeness,0.2
Innovativeness,0.2
Innovativeness,2.3
Innovativeness,3.6
Innovativeness,3.6
Innovativeness,0.4
Innovativeness,2
Innovativeness,2.4
Innovativeness,2.4
Innovativeness,3.1
Innovativeness,1.4
Innovativeness,2.5
Innovativeness,2.3
Innovativeness,2.5
Innovativeness,2.2
Innovativeness,1.4
Innovativeness,1.4
Innovativeness,1.4
Innovativeness,1.6
Innovativeness,5.4
Innovativeness,1.8
Innovativeness,1.4
Innovativeness,2.1
Innovativeness,1.8
Innovativeness,2
Innovativeness,2
